set,mode,pressure,rpm,orifice,suction,level5,level3,,,,0,,0
,1,218.4259968,591.5,19,4.86,2,1,,0.686636269,218.4259968,2.339304326,6.887938843,591.5
,1,200.2238304,597.5,16,7.56,2,1,,0.878521796,200.2238304,2.301515765,6.381156655,597.5
,1,166.853192,613.5,13,11.25,2,1,,1.051152522,166.853192,2.222334519,5.700175498,613.5
,1,127.4151648,649.5,10,13.43,2,1,,1.128076013,127.4151648,2.10522112,4.847450769,649.5
,2,364.043328,766,30,2.64,2,1,,0.421603927,364.043328,2.561153076,8.710987136,766
,2,354.0321365,768,23,7.1,2,1,,0.851258349,354.0321365,2.549042686,7.992508598,768
,2,336.7400784,774.5,19,12.82,2,1,,1.107888025,336.7400784,2.527294809,7.441465346,774.5
,2,296.6953123,785,16,19.43,2,1,,1.288472801,296.6953123,2.472310685,6.854700722,785
,2,245.7292464,809,13,27.93,2,1,,1.446070936,245.7292464,2.390456849,6.131400758,809
,2,182.021664,863,10,32.53,2,1,,1.512284063,182.021664,2.26012308,5.204125713,863
,3,701.7946379,1211,30,11.82,2,1,,1.072617477,701.7946379,2.846210046,9.680522155,1211
,3,674.4913883,1217,23,30.94,2,1,,1.490520309,674.4913883,2.828976409,8.870239168,1217
,3,633.0308981,1228,19,55.22,2,1,,1.742096402,633.0308981,2.801424908,8.248624697,1228
,3,572.3570101,1249,16,83.21,2,1,,1.920175522,572.3570101,2.757667006,7.645876441,1249
,3,479.3237152,1298,13,115.01,2,1,,2.060735603,479.3237152,2.680628917,6.875677418,1298
,3,0,0,10,0,2,1,,#NUM!,0,#NUM!,#NUM!,0
7,1,272.0212645,593.5,30,1.08,2,1,,0.033423755,272.0212645,2.434602855,8.280564856,593.5
,1,254.8303296,593.5,23,2.81,2,1,,0.44870632,254.8303296,2.406251116,7.544786456,593.5
,1,243.7067835,595,19,4.88,2,1,,0.688419822,243.7067835,2.386867618,7.027986052,595
,1,218.4259968,601,16,7.59,2,1,,0.880241776,218.4259968,2.339304326,6.485928793,601
,1,189.1002843,619,13,11.37,2,1,,1.055760465,189.1002843,2.276692182,5.839600149,619
,1,137.5274795,655,10,13.65,2,1,,1.135132651,137.5274795,2.138389484,4.923823748,655
,2,401.3577691,767.5,30,2.64,2,1,,0.421603927,401.3577691,2.603531674,8.855125113,767.5
,2,382.2454944,770.5,23,7,2,1,,0.84509804,382.2454944,2.582342375,8.09691958,770.5
,2,364.043328,777.5,19,12.75,2,1,,1.105510185,364.043328,2.561153076,7.541158948,777.5
,2,327.6389952,789,16,19.41,2,1,,1.288025535,327.6389952,2.515395585,6.974157432,789
,2,273.032496,813.5,13,28.06,2,1,,1.448087667,273.032496,2.436214339,6.248766404,813.5
,2,208.4148053,867,10,32.68,2,1,,1.514282048,208.4148053,2.318928567,5.33953035,867
,3,798.1649966,1214,30,11.65,2,1,,1.066325925,798.1649966,2.902092678,9.870590018,1214
,3,764.4909888,1221,23,30.87,2,1,,1.489536629,764.4909888,2.883372371,9.040797391,1221
