set,mode,pressure,rpm,orifice,suction,level5,level3,,,,,
,3,798.1649966,1214,30,11.65,2,1,,1.066325925,,2.318928567,7.88713377
,3,764.4909888,1221,23,30.87,2,1,,1.489536629,,2.902092678,9.099494806
,3,720.8057894,1232,19,54.86,2,1,,1.739255803,,2.883372371,8.489914
,3,653.4577738,1253,16,82.68,2,1,,1.917400468,,2.857818266,7.923554695
,3,543.334667,1301.5,13,114.47,2,1,,2.058691683,,2.815217529,7.220890392
8,1,337.7513099,602,30,1.09,2,1,,0.037426498,,2.735067416,9.302504133
,1,327.6389952,600,23,2.82,2,1,,0.450249108,,2.528597042,7.9284014
,1,308.4255973,601,19,4.98,2,1,,0.697229343,,2.515395585,7.40642881
,1,282.1335792,608.5,16,7.78,2,1,,0.890979597,,2.489150414,6.901390367
,1,236.6281632,625.5,13,11.54,2,1,,1.062205809,,2.450454778,6.285292409
,1,181.0104325,661,10,13.85,2,1,,1.141449773,,2.374066433,5.466489977
,2,506.9303342,773,30,2.65,2,1,,0.423245874,,2.257703606,7.678895594
,2,483.2675179,775,23,6.88,2,1,,0.837588438,,2.70494828,8.481349686
,2,455.05416,782,19,12.52,2,1,,1.097604329,,2.684187606,7.903426614
,2,418.6498272,794,16,19.33,2,1,,1.286231854,,2.658063089,7.369715743
,2,347.6613782,819,13,28.11,2,1,,1.448860846,,2.621850916,6.724914823
,2,259.3808712,873,10,32.88,2,1,,1.516931809,,2.541156447,5.851228955
,3,973.8159024,1216.5,30,11.67,2,1,,1.067070856,,2.413937945,8.210279417
,3,935.591353,1222.5,23,30.49,2,1,,1.484157424,,2.988476862,9.370351916
,3,880.9848538,1234.5,19,54.54,2,1,,1.736715134,,2.971086199,8.748182016
,3,796.34478,1255.5,16,81.72,2,1,,1.912328358,,2.944968442,8.165186289
,3,664.3790736,1304.5,13,113.89,2,1,,2.056485593,,2.901101138,7.441177499
9,1,400.4476608,579,30,0.88,2,1,,-0.055517328,,2.822415945,9.599593721
,1,382.2454944,582,23,2.32,2,1,,0.365487985,,2.602545761,8.160267181
,1,364.043328,587,19,4.4,2,1,,0.643452676,,2.582342375,7.603549547
,1,336.7400784,595,16,6.97,2,1,,0.843232778,,2.561153076,7.101024134
,1,282.1335792,610,13,10.45,2,1,,1.01911629,,2.527294809,6.482383196
,1,218.4259968,648,10,12.78,2,1,,1.106530854,,2.450454778,5.642380644
,2,600.6714912,766.5,30,2.36,2,1,,0.372912003,,2.339304326,7.95643575
,2,582.4693248,769.5,23,6.44,2,1,,0.808885867,,2.77863702,8.712400305
,2,546.064992,776.5,19,11.82,2,1,,1.072617477,,2.765273059,8.142177782
,2,499.6494677,786.5,16,18.18,2,1,,1.259593879,,2.737244335,7.589252773
,2,418.6498272,812.5,13,26.85,2,1,,1.42894429,,2.698665429,6.921940158
,2,311.2570454,866.5,10,31.86,2,1,,1.503245771,,2.621850916,6.037034836
,3,1133.084858,1214.5,30,11.15,2,1,,1.047274867,,2.493119191,8.479590463
,3,1090.309767,1221,23,29.64,2,1,,1.471878199,,3.054262436,9.576622202
,3,1023.87186,1232.5,19,53.17,2,1,,1.72566666,,3.037549903,8.943880334
,3,928.3104864,1253.5,16,80.26,2,1,,1.904499155,,3.010245607,8.346173021
,3,777.2325053,1301.5,13,112.07,2,1,,2.049489372,,2.967693256,7.611982911
10,1,473.2563264,589.5,30,0.79,3,2,,-0.102372909,,2.890550955,9.831334341
,1,455.05416,588.5,23,2.33,3,2,,0.367355921,,2.675096428,8.387749378
,1,427.7509104,593,19,4.33,3,2,,0.636487896,,2.658063089,7.826504568
,1,395.3915035,600,16,6.75,3,2,,0.829303773,,2.631190943,7.295210333
,1,336.7400784,617,13,10.41,3,2,,1.01745073,,2.597027333,6.661243588
,1,254.8303296,652,10,12.93,3,2,,1.111598525,,2.527294809,5.819311352
,2,709.8844896,768,30,2.5,3,2,,0.397940009,,2.406251116,8.184134995
,2,682.58124,772,23,6.46,3,2,,0.810232518,,2.851187687,8.939882502
,2,642.5364739,778,19,11.73,3,2,,1.069298012,,2.834154348,8.344994535
,2,588.840083,789.5,16,18.12,3,2,,1.258158193,,2.807897786,7.785145734
,2,491.4584928,814.5,13,26.74,3,2,,1.427161403,,2.769997365,7.104902962
,2,370.4140862,868.5,10,31.68,3,2,,1.500785173,,2.691486844,6.197377486
,3,1330.578364,1216,30,10.96,3,2,,1.039810554,,2.568687494,8.736613178
,3,1276.881973,1222,23,29.3,3,2,,1.46686762,,3.124040457,9.795410784
,3,1200.432874,1233.5,19,52.14,3,2,,1.717171027,,3.106150756,9.14587136
,3,1088.489551,1255.5,16,79.06,3,2,,1.89795681,,3.07933788,8.537737478
,3,911.0184283,1303,13,110.75,3,2,,2.044343735,,3.036824264,7.789300446
11,1,622.9185835,596,30,0.89,3,2,,-0.050609993,,2.959527162,10.06593603
,1,600.6714912,595.5,23,2.33,3,2,,0.367355921,,2.794431287,8.761923138
,1,569.3233157,598.5,19,4.16,3,2,,0.619093331,,2.77863702,8.181527151
,1,525.8403627,604,16,6.51,3,2,,0.813580989,,2.75535897,7.639477206
,1,445.9530768,621,13,10.14,3,2,,1.006037955,,2.720853919,6.978852511
,1,337.7513099,656.5,10,12.72,3,2,,1.104487111,,2.649289165,6.100213738
,2,928.3104864,772,30,2.51,3,2,,0.399673721,,2.528597042,8.600257639
,2,891.9061536,776,23,6.21,3,2,,0.7930916,,2.967693256,9.30518504
,2,846.4007376,782.5,19,11.38,3,2,,1.056142262,,2.95031916,8.687034737
,2,773.592072,794,16,17.36,3,2,,1.239549721,,2.927576033,8.116964293
,2,651.6375571,817.5,13,26,3,2,,1.414973348,,2.88851201,7.408887025
,2,488.7281678,871,10,31.2,3,2,,1.494154594,,2.814006107,6.479488513
,3,1713.733967,1218,30,10.75,3,2,,1.031408464,,2.68906737,9.146048899
,3,1650.936492,1225,23,28.26,3,2,,1.451172158,,3.233943405,10.14001084
,3,1549.914469,1236.5,19,50.39,3,2,,1.702344358,,3.217730367,9.474410718
,3,1409.757788,1258,16,76.6,3,2,,1.88422877,,3.190307733,8.84541124
,3,1181.320599,1306.5,13,108.56,3,2,,2.035669835,,3.149144502,8.077396168
12,1,819.097488,604,30,0.8,4,2,,-0.096910013,,3.072367777,10.44972924
,1,789.7717755,603.5,23,2.16,4,2,,0.334453751,,2.913335594,9.134746904
,1,749.3225168,607,19,4,4,2,,0.602059991,,2.897501609,8.53151668
,1,691.6823232,613,16,6.37,4,2,,0.804139432,,2.874668783,7.970274248
,1,591.570408,630.5,13,10.03,4,2,,1.001300933,,2.839906677,7.284216806
,1,455.05416,666.5,10,12.7,4,2,,1.103803721,,2.772006441,6.382780709
,2,1232.286665,780,30,1.99,4,2,,0.298853076,,2.658063089,9.040597218
,2,1187.691358,783.5,23,5.47,4,2,,0.737987326,,3.090711749,9.690908812
,2,1127.624208,790,19,10.33,4,2,,1.014100322,,3.074703596,9.053277119
,2,1029.33251,800.5,16,16.31,4,2,,1.212453961,,3.052164391,8.462396568
,2,872.7938789,826,13,25.11,4,2,,1.399846713,,3.01255569,7.72705278
,2,652.5476654,878,10,30.5,4,2,,1.484299839,,2.940911692,6.771699421
,3,2333.517732,1223.5,30,10.13,4,2,,1.005609445,,2.81461224,9.573051782
,3,2242.5069,1230.5,23,26.67,4,2,,1.426023016,,3.368011105,10.56037934
,3,2112.361411,1242.5,19,47.98,4,2,,1.681060244,,3.350733788,9.866031174
,3,1917.59823,1264,16,73.42,4,2,,1.86581438,,3.324768225,9.218214885
,3,1611.801835,1312.5,13,105.4,4,2,,2.022840611,,3.28275762,8.420107049
13,1,1073.927818,600.5,30,0.62,4,2,,-0.207608311,,3.207311646,10.90869997
,1,1037.523485,601.5,23,1.81,4,2,,0.257678575,,3.030975092,9.50360487
,1,988.9843744,605.5,19,3.42,4,2,,0.534026106,,3.015997936,8.880421884
,1,919.2094032,611.5,16,5.53,4,2,,0.742725131,,2.99518943,8.304428434
,1,791.7942384,628,13,8.88,4,2,,0.948412966,,2.963414458,7.601008011
,1,609.7725744,661.5,10,11.57,4,2,,1.063333359,,2.898612337,6.674301558
,2,1629.093893,781.5,30,1.87,4,2,,0.271841607,,2.785167887,9.472905726
,2,1578.127827,786.5,23,5.12,4,2,,0.709269961,,3.211946116,10.07103847
,2,1495.30797,792,19,9.43,4,2,,0.974511693,,3.198142178,9.416734489
,2,1380.634321,803.5,16,14.96,4,2,,1.174931594,,3.174730648,8.802222391
,2,1172.219516,826,13,23.39,4,2,,1.369030222,,3.140078665,8.054142755
,2,883.7151787,879,10,29.1,4,2,,1.463892989,,3.069008948,7.066654253
,3,3086.177313,1229,30,8.9,4,2,,0.949390007,,2.946312315,10.02098973
,3,2969.683448,1236,23,24.29,4,2,,1.385427515,,3.489420874,10.94105897
,3,2796.762867,1248,19,44.28,4,2,,1.646207612,,3.472710158,10.22518315
,3,2543.752754,1270,16,68.73,4,2,,1.837146344,,3.446655645,9.55615857
,3,2149.675852,1317,13,100.36,4,2,,2.001560653,,3.405474897,8.734870648
14,1,1604.824338,617.5,30,0.54,5,3,,-0.26760624,,3.332372978,11.33405825
,1,1561.341385,617,23,1.49,5,3,,0.173186268,,3.205427502,10.05059939
,1,1492.577645,618.5,19,2.8,5,3,,0.447158031,,3.193497871,9.403059612
,1,1401.566813,624.5,16,4.65,5,3,,0.667452953,,3.173936933,8.800021745
,1,1228.646232,638.5,13,7.77,5,3,,0.890421019,,3.146613806,8.070905059
,1,957.6361989,671.5,10,10.52,5,3,,1.02201574,,3.089426853,7.113668218
,2,2433.629648,792,30,1.52,5,3,,0.181843588,,2.981200554,10.13965152
,2,2370.832174,796.5,23,4.09,5,3,,0.611723308,,3.386254488,10.61758136
,2,2260.709067,801.5,19,7.79,5,3,,0.891537458,,3.374900812,9.937189503
,2,2112.361411,812.5,16,12.61,5,3,,1.100715087,,3.354244676,9.299940961
,2,1823.857073,835,13,20.61,5,3,,1.314077992,,3.324768225,8.527862123
,2,1397.92638,886.5,10,26.59,5,3,,1.424718337,,3.260990802,7.508708808
,3,4629.721024,1240,30,7.9,5,3,,0.897627091,,3.1454843,10.69841297
,3,4465.901526,1247,23,21.17,5,3,,1.325720858,,3.665554822,11.49332594
,3,4230.183471,1260,19,38.57,5,3,,1.586249639,,3.649909143,10.74693475
,3,3889.80296,1281,16,60.79,5,3,,1.783832143,,3.626359204,10.05440263
15,1,1982.013675,622,30,0.46,5,3,,-0.337242168,,3.589927602,12.21005236
,1,1930.44087,621,23,1.25,5,3,,0.096910013,,3.297106647,10.33805882
,1,1866.733287,624.5,19,2.35,5,3,,0.371067862,,3.285656504,9.674415081
,1,1774.711224,632,16,3.95,5,3,,0.596597096,,3.271082272,9.069365816
,1,1569.431236,645,13,6.83,5,3,,0.834420704,,3.249127696,8.333847996
,1,1255.949482,679.5,10,9.68,5,3,,0.985875357,,3.195742292,7.358468563
,2,3081.626772,804.5,30,1.3,5,3,,0.113943352,,3.098972171,10.54021603
,2,3011.548431,809.5,23,3.55,5,3,,0.550228353,,3.488780038,10.93904963
,2,2882.313049,812.5,19,6.65,5,3,,0.822821645,,3.478789852,10.24308444
,2,2720.313768,824,16,10.96,5,3,,1.039810554,,3.459741148,9.592439289
,2,2369.011957,844,13,18.27,5,3,,1.261738547,,3.434619,8.809623796
,2,1840.239023,895.5,10,24.6,5,3,,1.390935107,,3.374567253,7.770228251
,3,6054.950653,1254,30,6.38,5,3,,0.804820679,,3.264874236,11.1044817
,3,5866.558231,1261.5,23,17.83,5,3,,1.251151343,,3.782110608,11.85878594
,3,5587.154976,1273.5,19,32.96,5,3,,1.517987203,,3.768383386,11.09577493
,3,5189.437641,1295,16,53.69,5,3,,1.729893404,,3.747190718,10.38941872
16,1,2384.483798,635.5,30,0.31,5,3,,-0.508638306,,3.715120298,12.63585743
,1,2325.832373,634,23,0.96,5,3,,-0.017728767,,3.377394376,10.58980053
,1,2246.956319,634.5,19,1.86,5,3,,0.269512944,,3.366578411,9.9126847
,1,2138.754552,638,16,3.16,5,3,,0.499687083,,3.35159463,9.292593472
,1,1920.328555,651.5,13,5.73,5,3,,0.758154622,,3.330160947,8.541694181
,1,1548.195375,682,10,8.46,5,3,,0.927370363,,3.28337554,7.560251573
,2,3741.455304,813.5,30,0.89,5,3,,-0.050609993,,3.189825766,10.84922704
,2,3668.646638,817.5,23,2.72,5,3,,0.434568904,,3.573040561,11.20324801
,2,3542.141581,821.5,19,5.26,5,3,,0.720985744,,3.564505883,10.49547006
,2,3366.490676,831.5,16,9.09,5,3,,0.958563883,,3.549265916,9.840654651
,2,2989.705831,854,13,15.65,5,3,,1.194514342,,3.527177416,9.047031447
,2,2348.989574,900,10,21.88,5,3,,1.340047318,,3.475628458,8.002930277
,3,7691.325412,1270.5,30,5.47,5,3,,0.737987326,,3.370881089,11.46503193
,3,7490.191474,1278.5,23,14.79,5,3,,1.169968174,,3.886001186,12.18453424
,3,7196.226486,1291,19,28.03,5,3,,1.447623098,,3.87449292,11.40820798
,3,6737.531893,1310,16,46.22,5,3,,1.664829941,,3.857104823,10.69416533
17,1,3694.028548,676,30,0.19,5,3,,-0.721246399,,3.828500834,13.02148701
,1,3621.219882,674,23,0.53,5,3,,-0.27572413,,3.567500247,11.18587639
,1,3543.355059,674.5,19,1.02,5,3,,0.008600172,,3.558854896,10.47883108
,1,3424.029746,676.5,16,1.78,5,3,,0.250420002,,3.549414673,9.841067092
,1,3183.356657,687,13,3.42,5,3,,0.534026106,,3.534537529,9.065909764
,1,2673.695998,706.5,10,5.5,5,3,,0.740362689,,3.502885299,8.065691472
,2,5957.569063,863.5,30,0.46,5,3,,-0.337242168,,3.427112026,11.65628445
,2,5881.119964,866,23,1.41,5,3,,0.149219113,,3.775069086,11.83670728
,2,5748.244149,869.5,19,2.87,5,3,,0.457881897,,3.769460038,11.09894507
,2,5553.480969,878,16,5.01,5,3,,0.699837726,,3.759535206,10.42364491
,2,5095.696484,894.5,13,9.44,5,3,,0.974971994,,3.744565288,9.604620329
,2,4227.453146,928.5,10,14.78,5,3,,1.169674434,,3.707203552,8.536151636
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,`,
