set,mode,pressure,rpm,orifice,suction,level5,level3,,,,
,2,1232.286665,780,30,1.99,4,2,,,,
,2,1187.691358,783.5,23,5.47,4,2,,,,
,2,1127.624208,790,19,10.33,4,2,,,,
,2,1029.33251,800.5,16,16.31,4,2,,,,
,2,872.7938789,826,13,25.11,4,2,,,,
,2,652.5476654,878,10,30.5,4,2,,,,
,3,2333.517732,1223.5,30,10.13,4,2,,,,
,3,2242.5069,1230.5,23,26.67,4,2,,,,
,3,2112.361411,1242.5,19,47.98,4,2,,,,
,3,1917.59823,1264,16,73.42,4,2,,,,
,3,1611.801835,1312.5,13,105.4,4,2,,,,
,3,0,0,10,0,4,2,,,,
13,1,1073.927818,600.5,30,0.62,4,2,,,,
,1,1037.523485,601.5,23,1.81,4,2,,,,
,1,988.9843744,605.5,19,3.42,4,2,,,,
,1,919.2094032,611.5,16,5.53,4,2,,,,
,1,791.7942384,628,13,8.88,4,2,,,,
,1,609.7725744,661.5,10,11.57,4,2,,,,
,2,1629.093893,781.5,30,1.87,4,2,,,,
,2,1578.127827,786.5,23,5.12,4,2,,,,
,2,1495.30797,792,19,9.43,4,2,,,,
,2,1380.634321,803.5,16,14.96,4,2,,,,
,2,1172.219516,826,13,23.39,4,2,,,,
,2,883.7151787,879,10,29.1,4,2,,,,
,3,3086.177313,1229,30,8.9,4,2,,,,
,3,2969.683448,1236,23,24.29,4,2,,,,
,3,2796.762867,1248,19,44.28,4,2,,,,
,3,2543.752754,1270,16,68.73,4,2,,,,
,3,2149.675852,1317,13,100.36,4,2,,,,
,3,0,0,10,0,4,2,,,,
14,1,1604.824338,617.5,30,0.54,5,3,,,,
,1,1561.341385,617,23,1.49,5,3,,,,
,1,1492.577645,618.5,19,2.8,5,3,,,,
,1,1401.566813,624.5,16,4.65,5,3,,,,
,1,1228.646232,638.5,13,7.77,5,3,,,,
,1,957.6361989,671.5,10,10.52,5,3,,,,
,2,2433.629648,792,30,1.52,5,3,,,,
,2,2370.832174,796.5,23,4.09,5,3,,,,
,2,2260.709067,801.5,19,7.79,5,3,,,,
,2,2112.361411,812.5,16,12.61,5,3,,,,
,2,1823.857073,835,13,20.61,5,3,,,,
,2,1397.92638,886.5,10,26.59,5,3,,,,
,3,4629.721024,1240,30,7.9,5,3,,,,
,3,4465.901526,1247,23,21.17,5,3,,,,
,3,4230.183471,1260,19,38.57,5,3,,,,
,3,3889.80296,1281,16,60.79,5,3,,,,
,3,0,0,13,0,5,3,,,,
,3,0,0,10,0,5,3,,,,
15,1,1982.013675,622,30,0.46,5,3,,,,
,1,1930.44087,621,23,1.25,5,3,,,,
,1,1866.733287,624.5,19,2.35,5,3,,,,
,1,1774.711224,632,16,3.95,5,3,,,,
,1,1569.431236,645,13,6.83,5,3,,,,
,1,1255.949482,679.5,10,9.68,5,3,,,,
,2,3081.626772,804.5,30,1.3,5,3,,,,
,2,3011.548431,809.5,23,3.55,5,3,,,,
,2,2882.313049,812.5,19,6.65,5,3,,,,
,2,2720.313768,824,16,10.96,5,3,,,,
